"","source","X","LF_Number","LF_Name","total_count","HPDG_total_prop","HPDG_total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"86","2",18,57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"87","2",19,60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"88","2",20,61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"89","2",21,62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"90","2",22,63,"LF63: Mortality or fitness reduction as a result of poor pH levels",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"91","2",23,64,"LF64: Mortality or fitness reduction due to increases in salinity",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"92","2",24,68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",10,0.9,9,0.1,1,0,0,0,0,0,0,0,0,0,0
"93","2",25,70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",10,0.9,9,0.1,1,0,0,0,0,0,0,0,0,0,0
"94","2",26,20,"LF20: Mortality or fitness reduction due to redd overspawn",10,0.9,9,0,0,0,0,0,0,0,0,0.1,1,0,0
"95","2",27,15,"LF15: Mortality or fitness reduction due to deleterious substances",10,0.8,8,0,0,0,0,0,0,0,0,0.2,2,0,0
"96","2",28,22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",10,0.7,7,0.2,2,0,0,0,0,0,0,0.1,1,0,0
"97","2",29,58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",10,0.7,7,0,0,0.1,1,0.2,2,0,0,0,0,0,0
"98","2",30,59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",10,0.7,7,0,0,0.1,1,0.2,2,0,0,0,0,0,0
"99","2",31,25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",10,0.7,7,0,0,0.1,1,0.1,1,0,0,0.1,1,0,0
"100","2",32,65,"LF65: Mortality or fitness reduction due to deleterious substances",10,0.7,7,0,0,0,0,0,0,0,0,0.3,3,0,0
"101","2",33,19,"LF19: Mortality or fitness reduction due to early alevin emergence",10,0.7,7,0,0,0,0,0,0,0,0,0,0,0.3,3
"102","2",34,30,"LF30: Mortality or fitness reduction as a result of elevated predation",10,0.7,7,0,0,0,0,0,0,0,0,0,0,0.3,3
"103","2",35,51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",10,0.5,5,0.1,1,0.1,1,0.1,1,0.2,2,0,0,0,0
"104","2",36,69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",10,0.5,5,0.1,1,0,0,0,0,0.2,2,0.2,2,0,0
"105","2",37,67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",10,0.5,5,0,0,0.4,4,0.1,1,0,0,0,0,0,0
"106","2",38,41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",10,0.5,5,0,0,0,0,0,0,0.2,2,0.3,3,0,0
"107","2",39,36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",10,0.4,4,0.2,2,0.1,1,0,0,0,0,0.3,3,0,0
"108","2",40,37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",10,0.4,4,0.2,2,0.1,1,0,0,0,0,0.3,3,0,0
"109","2",41,38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",10,0.4,4,0,0,0.2,2,0,0,0,0,0.4,4,0,0
"110","2",42,29,"LF29: Mortality or fitness reduction due to deleterious substances",10,0.4,4,0,0,0,0,0,0,0,0,0.3,3,0.3,3
"111","2",43,45,"LF45: Mortality or fitness reduction as a result of deleterious substances",10,0.4,4,0,0,0,0,0,0,0,0,0.2,2,0.4,4
"112","2",44,39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",10,0.2,2,0,0,0.1,1,0,0,0.3,3,0.4,4,0,0
"113","2",45,40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",10,0.1,1,0.1,1,0,0,0.3,3,0,0,0.5,5,0,0
"114","2",46,6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",10,0,0,0.2,2,0.3,3,0.2,2,0,0,0.3,3,0,0
"115","2",47,7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",10,0,0,0.1,1,0.1,1,0.3,3,0.1,1,0.3,3,0.1,1
"116","2",48,8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",10,0,0,0.1,1,0,0,0.2,2,0.1,1,0.5,5,0.1,1
"117","2",49,1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",10,0,0,0,0,0,0,0.2,2,0.4,4,0.4,4,0,0
"118","2",50,11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",10,0,0,0,0,0,0,0.1,1,0.3,3,0.6,6,0,0
